request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use the supplied 3-payment plan in EUR; total payable is 1499.79 including fees.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay 588.74 EUR today; the projected balance remains at or above 1300 EUR.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay 10621000 IDR today; the projected balance remains at or above 13994300 IDR.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the supplied 3-payment plan in EUR; total payable is 1460.88 including fees.
request_207,5378.17,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15 to pay 11830 ZAR; paying earlier would risk the minimum balance of 13600.
request_208,4238560.69,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Wait until 2024-06-15 to pay 4413000 IDR; paying earlier would risk the minimum balance of 10470700.
request_209,3320.75,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 18400 ZAR.
request_210,991.13,affordable_with_plan,partial_payment,2026-04-06:991.13|2026-04-15:368.89,2026-04-15,none,Pay 991.13 USD today and the remaining balance on 2026-04-15 while keeping at least 2000 USD.
request_211,338.59,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,Wait until 2024-11-15 to pay 1788.6 EUR; paying earlier would risk the minimum balance of 1500.
request_212,7190694.13,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 29579800 IDR.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use the supplied 3-payment plan in USD; total payable is 3496.89 including fees.
request_214,68124.08,affordable_with_plan,partial_payment,2024-12-04:68124.08|2024-12-15:1625.92,2024-12-15,none,Pay 68124.08 INR today and the remaining balance on 2024-12-15 while keeping at least 174900 INR.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use the supplied 3-payment plan in ZAR; total payable is 31185.45 including fees.
request_216,571.23,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,Wait until 2026-09-15 to pay 3332.4 USD; paying earlier would risk the minimum balance of 1800.
request_217,22262.95,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,Use the supplied 3-payment plan in ZAR; total payable is 38667.21 including fees.
request_218,26273780.64,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use the supplied 3-payment plan in IDR; total payable is 63587679.99 including fees.
request_219,786.55,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,Use the supplied 3-payment plan in EUR; total payable is 1740.03 including fees.
request_220,163.67,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 1100 EUR.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay 109800 INR today; the projected balance remains at or above 81500 INR.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay 34078 ZAR today; the projected balance remains at or above 27300 ZAR.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay 898.7 EUR today; the projected balance remains at or above 800 EUR.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use the supplied 2-payment plan in IDR; total payable is 10740080 including fees.
request_225,11826902.84,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-15,none,Use the supplied 3-payment plan in IDR; total payable is 22941360 including fees.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay 157000 INR today; the projected balance remains at or above 209400 INR.
request_227,10593.84,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 62900 INR.
request_228,2668929.25,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 26191200 IDR.
request_229,531.88,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Use the supplied 3-payment plan in EUR; total payable is 1587.87 including fees.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay 3537.6 EUR today; the projected balance remains at or above 2000 EUR.
request_231,35123.54,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,Use the supplied 3-payment plan in ZAR; total payable is 37134.24 including fees.
request_232,757.51,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,Wait until 2024-08-15 to pay 1970.1 EUR; paying earlier would risk the minimum balance of 2400.
request_233,4283066.40,affordable_with_plan,partial_payment,2025-11-07:4283066.40|2025-11-15:1957933.60,2025-11-15,none,Pay 4283066.40 IDR today and the remaining balance on 2025-11-15 while keeping at least 10365700 IDR.
request_234,216.51,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,Wait until 2026-08-15 to pay 1213.3 EUR; paying earlier would risk the minimum balance of 700.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay 967.2 USD today; the projected balance remains at or above 700 USD.
request_236,8055802.81,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 16768600 IDR.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay 23826000 IDR today; the projected balance remains at or above 22431500 IDR.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use the supplied 3-payment plan in USD; total payable is 690.15 including fees.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay 642 USD today; the projected balance remains at or above 600 USD.
request_240,16270.66,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 52800 INR.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use the supplied 3-payment plan in IDR; total payable is 21894080.01 including fees.
request_242,60.81,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 600 EUR.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay 17468 ZAR today; the projected balance remains at or above 19900 ZAR.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay 49918 ZAR today; the projected balance remains at or above 45900 ZAR.
request_245,0,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 94600 INR.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use the supplied 3-payment plan in ZAR; total payable is 66649.44 including fees.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay 1059.3 EUR today; the projected balance remains at or above 1300 EUR.
request_248,974.23,affordable_with_plan,partial_payment,2025-02-07:974.23|2025-02-15:991.37,2025-02-15,none,Pay 974.23 USD today and the remaining balance on 2025-02-15 while keeping at least 1300 USD.
request_249,200.78,affordable_later,wait,2026-02-15:643.20,2026-02-15,none,Wait until 2026-02-15 to pay 643.2 USD; paying earlier would risk the minimum balance of 600.
request_250,15480.52,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 35300 ZAR.
request_251,1272.62,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 1300 EUR.
request_252,4760076.58,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15 to pay 28082000 IDR; paying earlier would risk the minimum balance of 15152200.
request_253,1555.02,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,Use the supplied 3-payment plan in EUR; total payable is 2953.8 including fees.
request_254,776.69,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,Wait until 2025-09-15 to pay 3535.2 USD; paying earlier would risk the minimum balance of 2500.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay 3345000 IDR today; the projected balance remains at or above 9813900 IDR.
request_256,159357.92,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,Use the supplied 3-payment plan in INR; total payable is 227448 including fees.
request_257,640.53,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,Wait until 2025-12-15 to pay 1352.4 USD; paying earlier would risk the minimum balance of 1600.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay 1113.6 USD today; the projected balance remains at or above 500 USD.
request_259,213.98,affordable_later,wait,2024-11-15:935,2024-11-15,none,Wait until 2024-11-15 to pay 935 EUR; paying earlier would risk the minimum balance of 600.
request_260,9426199.59,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 20727700 IDR.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay 1830.4 EUR today; the projected balance remains at or above 1500 EUR.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay 9236000 IDR today; the projected balance remains at or above 31018500 IDR.
request_263,0,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 24100 ZAR.
request_264,27511.16,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Wait until 2026-05-15 to pay 111300 INR; paying earlier would risk the minimum balance of 59500.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay 45970 INR today; the projected balance remains at or above 189700 INR.
request_266,799.69,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,Use the supplied 3-payment plan in EUR; total payable is 972.39 including fees.
request_267,1736.34,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,Use the supplied 3-payment plan in EUR; total payable is 2001.99 including fees.
request_268,1046.91,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use the supplied 3-payment plan in EUR; total payable is 2523.66 including fees.
request_269,11173.95,affordable_later,wait,2025-11-15:15490,2025-11-15,none,Wait until 2025-11-15 to pay 15490 ZAR; paying earlier would risk the minimum balance of 23100.
request_270,140.94,not_affordable,not_recommended,none,,none,No safe supported plan was found within the deadline and 90-day forecast while maintaining 1400 USD.
request_271,14119.52,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Wait until 2024-11-15 to pay 91300 INR; paying earlier would risk the minimum balance of 58200.
request_272,6263031.15,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use the supplied 3-payment plan in IDR; total payable is 14128400.01 including fees.
request_273,11017416.28,affordable_with_plan,partial_payment,2026-04-07:11017416.28|2026-04-15:4843583.72,2026-04-15,none,Pay 11017416.28 IDR today and the remaining balance on 2026-04-15 while keeping at least 18774600 IDR.
request_274,2414.08,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Use the supplied 3-payment plan in EUR; total payable is 2822.25 including fees.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay 15884000 IDR today; the projected balance remains at or above 12760100 IDR.
